filename,cmax,state,runtime,best_solution_time
aslib0_395a.RCP,100,Optimal,0.135,0.125
aslib0_396a.RCP,90,Optimal,0.223,0.107
aslib0_397a.RCP,87,Optimal,0.586,0.493
aslib0_398a.RCP,100,Optimal,0.174,0.155
aslib0_399a.RCP,97,Optimal,0.291,0.266
aslib0_400a.RCP,86,Optimal,0.133,0.118
aslib0_401a.RCP,90,Optimal,0.42,0.058
aslib0_402a.RCP,83,Optimal,0.086,0.077
aslib0_403a.RCP,88,Optimal,0.448,0.271
aslib0_404a.RCP,94,Feasible,5.037,1.134
aslib0_405a.RCP,85,Optimal,0.214,0.144
aslib0_406a.RCP,77,Optimal,1.528,0.379
aslib0_407a.RCP,73,Optimal,0.244,0.221
aslib0_408a.RCP,72,Optimal,0.409,0.196
aslib0_409a.RCP,86,Optimal,0.186,0.162
aslib0_410a.RCP,82,Optimal,0.492,0.078
aslib0_411a.RCP,88,Optimal,0.087,0.067
aslib0_412a.RCP,87,Optimal,0.101,0.083
aslib0_413a.RCP,87,Optimal,0.19,0.148
aslib0_414a.RCP,67,Feasible,5.027,4.831
aslib0_415a.RCP,87,Optimal,0.13,0.117
aslib0_416a.RCP,84,Optimal,2.489,0.333
aslib0_417a.RCP,100,Optimal,0.208,0.1
aslib0_418a.RCP,79,Optimal,2.768,1.689
aslib0_419a.RCP,85,Optimal,0.255,0.19
aslib0_420a.RCP,81,Optimal,0.308,0.262
aslib0_421a.RCP,88,Optimal,0.708,0.583
aslib0_422a.RCP,87,Optimal,0.164,0.122
aslib0_423a.RCP,95,Optimal,0.264,0.203
aslib0_424a.RCP,81,Optimal,1.605,1.137
aslib0_425a.RCP,92,Optimal,0.19,0.123
aslib0_426a.RCP,83,Optimal,0.974,0.15
aslib0_427a.RCP,87,Optimal,0.174,0.137
aslib0_428a.RCP,90,Optimal,0.184,0.141
aslib0_429a.RCP,78,Optimal,1.156,0.682
aslib0_430a.RCP,91,Optimal,3.447,0.646
aslib0_431a.RCP,92,Optimal,0.385,0.317
aslib0_432a.RCP,85,Optimal,0.252,0.238
aslib0_433a.RCP,94,Optimal,0.182,0.159
aslib0_434a.RCP,77,Feasible,5.085,0.338
aslib0_435a.RCP,83,Optimal,0.66,0.443
aslib0_436a.RCP,85,Optimal,0.933,0.364
aslib0_437a.RCP,81,Optimal,0.392,0.217
aslib0_438a.RCP,83,Optimal,0.193,0.167
aslib0_439a.RCP,87,Optimal,0.258,0.233
aslib0_440a.RCP,81,Optimal,0.189,0.16
aslib0_441a.RCP,85,Optimal,1.909,0.19
aslib0_442a.RCP,83,Optimal,0.204,0.17
aslib0_443a.RCP,93,Optimal,0.273,0.216
aslib0_444a.RCP,80,Optimal,0.339,0.322
aslib0_445a.RCP,89,Optimal,0.97,0.266
aslib0_446a.RCP,96,Optimal,0.211,0.185
aslib0_447a.RCP,94,Optimal,0.982,0.965
aslib0_448a.RCP,83,Optimal,0.112,0.098
aslib0_449a.RCP,85,Optimal,0.284,0.206
aslib0_450a.RCP,93,Optimal,0.132,0.116
aslib0_451a.RCP,83,Optimal,0.969,0.297
aslib0_452a.RCP,87,Optimal,0.086,0.068
aslib0_453a.RCP,80,Optimal,0.076,0.061
aslib0_454a.RCP,79,Optimal,0.18,0.156
aslib0_455a.RCP,90,Optimal,0.225,0.188
aslib0_456a.RCP,78,Optimal,0.363,0.309
aslib0_457a.RCP,78,Optimal,0.337,0.17
aslib0_458a.RCP,86,Optimal,0.236,0.215
aslib0_459a.RCP,90,Optimal,0.161,0.14
aslib0_460a.RCP,93,Optimal,0.089,0.077
aslib0_461a.RCP,102,Optimal,0.216,0.157
aslib0_462a.RCP,87,Feasible,5.068,1.952
aslib0_463a.RCP,86,Optimal,0.394,0.23
aslib0_464a.RCP,82,Optimal,0.241,0.184
aslib0_465a.RCP,90,Optimal,0.523,0.132
aslib0_466a.RCP,91,Optimal,3.382,1.435
aslib0_467a.RCP,85,Optimal,2.42,0.712
aslib0_468a.RCP,83,Optimal,0.386,0.366
aslib0_469a.RCP,100,Optimal,0.369,0.2
aslib0_470a.RCP,79,Optimal,0.602,0.382
aslib0_471a.RCP,94,Optimal,0.466,0.383
aslib0_472a.RCP,87,Optimal,0.403,0.387
aslib0_473a.RCP,100,Optimal,0.29,0.147
aslib0_474a.RCP,90,Optimal,2.018,0.11
aslib0_475a.RCP,92,Optimal,0.316,0.284
aslib0_476a.RCP,101,Optimal,0.184,0.158
aslib0_477a.RCP,85,Optimal,0.089,0.08
aslib0_478a.RCP,92,Optimal,0.889,0.859
aslib0_479a.RCP,82,Optimal,0.136,0.117
aslib0_480a.RCP,94,Feasible,5.052,0.408
aslib0_481a.RCP,86,Optimal,0.433,0.238
aslib0_482a.RCP,73,Optimal,0.148,0.121
aslib0_483a.RCP,101,Optimal,0.114,0.098
aslib0_484a.RCP,95,Optimal,0.192,0.181
aslib0_485a.RCP,88,Optimal,0.294,0.276
aslib0_486a.RCP,85,Optimal,1.036,0.254
aslib0_487a.RCP,92,Optimal,0.997,0.324
aslib0_488a.RCP,102,Optimal,0.33,0.219
aslib0_489a.RCP,96,Optimal,0.213,0.192
aslib0_490a.RCP,97,Optimal,0.252,0.2
aslib0_491a.RCP,99,Optimal,0.336,0.234
aslib0_492a.RCP,87,Feasible,5.038,0.42
aslib0_493a.RCP,87,Optimal,0.21,0.189
aslib0_494a.RCP,91,Optimal,0.811,0.658
aslib0_495a.RCP,99,Optimal,0.285,0.219
aslib0_496a.RCP,91,Feasible,5.026,2.224
aslib0_497a.RCP,92,Optimal,0.165,0.145
aslib0_498a.RCP,95,Optimal,0.89,0.271
aslib0_499a.RCP,92,Optimal,0.209,0.17
aslib0_500a.RCP,78,Optimal,0.154,0.097
aslib0_501a.RCP,94,Optimal,0.193,0.135
aslib0_502a.RCP,85,Optimal,0.126,0.094
aslib0_503a.RCP,93,Optimal,0.065,0.036
aslib0_504a.RCP,91,Optimal,0.083,0.063
aslib0_505a.RCP,79,Optimal,0.093,0.068
aslib0_506a.RCP,81,Optimal,0.087,0.062
aslib0_507a.RCP,78,Optimal,0.065,0.046
aslib0_508a.RCP,83,Optimal,0.097,0.074
aslib0_509a.RCP,76,Optimal,0.135,0.106
aslib0_510a.RCP,82,Optimal,0.138,0.098
aslib0_511a.RCP,90,Optimal,0.092,0.067
aslib0_512a.RCP,88,Optimal,0.074,0.041
aslib0_513a.RCP,86,Optimal,0.072,0.049
